Filename,Time (s),Memory (B),Path
dynamic_bitset_test.cpp,3.08,500121600,openMVG/stl/dynamic_bitset_test.cpp
Linker/,0.02,21741568,Linker/
exifParsing.cpp,1.35,235159552,openMVG_Samples/exif_Parsing/exifParsing.cpp
Linker/,0.01,21741568,Linker/
robust_estimator_Ransac_test.cpp,17.23,1168097280,openMVG/robust_estimation/robust_estimator_Ransac_test.cpp
Linker/,0.02,21889024,Linker/
robust_estimator_lineKernel_test.cpp,16.94,1149124608,openMVG/robust_estimation/robust_estimator_lineKernel_test.cpp
Linker/,0.02,21741568,Linker/
robust_estimator_MaxConsensus_test.cpp,17.22,1169391616,openMVG/robust_estimation/robust_estimator_MaxConsensus_test.cpp
Linker/,0.02,21741568,Linker/
array_utils.cc,0.44,162660352,third_party/ceres-solver/internal/ceres/array_utils.cc
blas.cc,0.60,188874752,third_party/ceres-solver/internal/ceres/blas.cc
show_exif_gps_position_demo.cpp,3.77,538705920,openMVG_Samples/geodesy_show_exif_gps_position/show_exif_gps_position_demo.cpp
Linker/,0.02,21692416,Linker/
block_evaluate_preparer.cc,2.03,397459456,third_party/ceres-solver/internal/ceres/block_evaluate_preparer.cc
features_test.cpp,4.03,552173568,openMVG/features/features_test.cpp
Linker/,0.02,21741568,Linker/
unitTest.cpp,8.26,483065856,dependencies/osi_clp/Clp/src/unitTest.cpp
image_io.cpp,3.95,478478336,openMVG/image/image_io.cpp
block_random_access_dense_matrix.cc,1.80,366264320,third_party/ceres-solver/internal/ceres/block_random_access_dense_matrix.cc
svg_matches.cpp,3.57,597442560,openMVG/matching/svg_matches.cpp
block_jacobian_writer.cc,3.03,474218496,third_party/ceres-solver/internal/ceres/block_jacobian_writer.cc
block_jacobi_preconditioner.cc,3.45,472317952,third_party/ceres-solver/internal/ceres/block_jacobi_preconditioner.cc
mser_test.cpp,4.40,615874560,openMVG/features/mser/mser_test.cpp
Linker/,0.02,21757952,Linker/
block_random_access_matrix.cc,0.18,109150208,third_party/ceres-solver/internal/ceres/block_random_access_matrix.cc
tbmr_test.cpp,3.95,605454336,openMVG/features/tbmr/tbmr_test.cpp
Linker/,0.02,21757952,Linker/
image_resampling_test.cpp,4.98,592756736,openMVG/image/image_resampling_test.cpp
Linker/,0.03,21741568,Linker/
block_random_access_sparse_matrix.cc,2.88,427802624,third_party/ceres-solver/internal/ceres/block_random_access_sparse_matrix.cc
block_random_access_diagonal_matrix.cc,7.05,614793216,third_party/ceres-solver/internal/ceres/block_random_access_diagonal_matrix.cc
block_sparse_matrix.cc,3.46,453787648,third_party/ceres-solver/internal/ceres/block_sparse_matrix.cc
block_structure.cc,0.28,138723328,third_party/ceres-solver/internal/ceres/block_structure.cc
image_filtering_test.cpp,8.10,749797376,openMVG/image/image_filtering_test.cpp
Linker/,0.02,21823488,Linker/
c_api.cc,1.03,233046016,third_party/ceres-solver/internal/ceres/c_api.cc
canonical_views_clustering.cc,0.14,92438528,third_party/ceres-solver/internal/ceres/canonical_views_clustering.cc
image_drawing_test.cpp,3.92,566509568,openMVG/image/image_drawing_test.cpp
Linker/,0.02,21741568,Linker/
image_io_test.cpp,5.51,617594880,openMVG/image/image_io_test.cpp
Linker/,0.02,21823488,Linker/
callbacks.cc,1.06,234356736,third_party/ceres-solver/internal/ceres/callbacks.cc
sift_test.cpp,13.44,1013628928,openMVG/features/sift/sift_test.cpp
Linker/,0.02,21757952,Linker/
cgnr_solver.cc,3.20,459948032,third_party/ceres-solver/internal/ceres/cgnr_solver.cc
image_test.cpp,3.84,549863424,openMVG/image/image_test.cpp
Linker/,0.02,21823488,Linker/
